step,mean_q,min_q,max_q
1.0,0.05880867689847946,0.033205851912498474,0.08441150188446045
2.0,0.1291526176035404,0.013142772018909458,0.24516246318817134
3.0,0.24010300196707243,-0.024588381499052035,0.5047943854331969
4.0,0.39718683879077427,-0.02097559109330176,0.8153492686748502
5.0,0.5239414297759531,-0.02310158246755599,1.0709844420194623
6.0,0.7058069883185623,-0.007963644868135446,1.41957762150526
7.0,0.8790084853081105,-0.01112729898631572,1.7691442696025368
8.0,1.046353596536058,0.0035828477900624305,2.0891243452820536
9.0,1.200105460234199,0.001395970926707986,2.39881494954169
10.0,1.5509266421923464,0.012174895715140702,3.0896783886695522
11.0,1.8576350986119592,-0.014323027749577099,3.7295932249734953
12.0,2.2086993183931543,0.011594335598004811,4.4058043011883035
13.0,2.4538615205503254,0.04305497142277921,4.8646680696778715
14.0,2.8508799933150484,0.06768513917269794,5.6340748474573985
15.0,3.2338648770232568,0.0702711048663481,6.397458649180165
16.0,3.612105353979429,0.08564503368206239,7.138565674276796
17.0,3.934505883358264,0.07855835521043018,7.790453411506098
18.0,4.2073303805312605,0.03626250592309842,8.378398255139423
19.0,4.6664417800177125,0.04451667398904511,9.28836688604638
20.0,5.206592912990062,0.0033214610579140394,10.40986436492221
21.0,5.621755387352295,-0.04923132761455826,11.29274210231915
22.0,6.002797924846162,-0.15080665085438416,12.156402500546708
23.0,6.349648430976047,-0.2783475983177739,12.977644460269868
24.0,6.763921852439141,-0.404381013038914,13.932224717917197
25.0,6.989130242642309,-0.49742961179300593,14.475690097077624
26.0,7.29905674813081,-0.6354164503611723,15.233529946622792
27.0,7.6067749436905014,-0.7508623322186707,15.964412219599673
28.0,7.539998749751748,-0.8560002315346454,15.935997731038142
29.0,8.333591127269479,-0.6222419561419537,17.28942421068091
30.0,9.029060993081044,-0.22628424955668908,18.284406235718777
31.0,9.360535162823538,0.204485931456719,18.516584394190357
32.0,9.700678674701278,0.7859202251976436,18.615437124204913
33.0,10.278633029750072,1.393885877085838,19.163380182414304
34.0,10.644523732207194,1.6737794396458088,19.61526802476858
35.0,11.273047833748437,2.2639996096948996,20.282096057801976
36.0,11.82987052420477,3.187000455152411,20.47274059325713
37.0,12.369649728116691,4.058207960448938,20.681091495784443
38.0,12.71427793500778,4.492908118536124,20.935647751479436
39.0,12.946634607296797,5.309746037456437,20.583523177137156
40.0,13.455221220953714,6.027518973231057,20.88292346867637
41.0,13.953775732311712,6.722937165629632,21.184614298993793
42.0,14.304702098899876,7.148082833527117,21.461321364272635
43.0,15.100744178057129,7.749622721408536,22.451865634705722
44.0,15.707944759869946,8.360247664691267,23.055641855048627
45.0,16.39805554969106,8.950626516081027,23.845484583301086
46.0,17.06079864164883,9.47488502002102,24.64671226327664
47.0,17.373944279498104,9.190369159010128,25.557519399986084
48.0,17.909106299531086,9.729340532446274,26.088872066615895
49.0,18.57673415415134,10.260517292342517,26.892951015960165
50.0,19.226623185330446,10.739115297605336,27.714131073055555
51.0,19.811409158575966,11.2483788548199,28.37443946233203
52.0,20.513742497326525,12.024824805702657,29.00266018895039
53.0,21.249450919713013,12.89555895416071,29.603342885265313
54.0,22.02831270487794,13.787956870390147,30.268668539365734
55.0,22.872193356082043,14.928989216798398,30.815397495365687
56.0,23.72062103127706,15.973856560987697,31.467385501566422
57.0,23.60995850719751,15.166894727291881,32.05302228710314
58.0,24.425004164198704,16.271436524399117,32.578571803998294
59.0,25.203239106970727,17.200282709605688,33.20619550433577
60.0,25.924547562454073,18.18614986253428,33.66294526237387
61.0,27.108776232111985,20.024913263732024,34.192639200491946
62.0,28.229179317213777,21.821337037456477,34.637021596971074
63.0,29.384507883600307,23.467808604096568,35.301207163104046
64.0,30.578371395777385,25.45512770401406,35.70161508754071
65.0,31.81780178854828,27.277451313617536,36.35815226347902
66.0,33.204312701612395,29.58288489319328,36.82574051003151
67.0,34.54814515673192,31.726346586979425,37.36994372648441
68.0,35.88727004077796,33.75196098223656,38.022579099319366
69.0,37.02750974965183,35.86233350278732,38.19268599651633
70.0,38.392902619291135,38.02098426200566,38.764820976576615
71.0,39.69827597735714,39.25974428968556,40.136807665028726
72.0,40.6629227524852,39.81894709155196,41.50689841341843
73.0,41.756785010622906,40.03423789875419,43.47933212249163
74.0,43.03678430497078,40.46480000975768,45.60876860018387
75.0,44.32655718367779,40.98657714989519,47.6665372174604
76.0,45.573798582924766,41.583867082000395,49.56373008384913
77.0,46.81810558376314,42.25259142726715,51.383619740259135
78.0,48.01301087621691,43.144284799188874,52.88173695324494
79.0,49.8490924866543,43.99202634795651,55.70615862535208
80.0,51.58768139167539,44.79770576272141,58.37765702062937
81.0,52.80096716180961,45.71214066130278,59.88979366231643
82.0,54.229523704905986,46.5111643271061,61.94788308270588
83.0,55.586326545291854,47.2018894013535,63.97076368923021
84.0,56.23668780250583,47.92139467508533,64.55198092992633
85.0,56.08180030277282,48.15681258062367,64.00678802492197
86.0,57.432691241123464,48.786051671682394,66.07933081056454
87.0,58.50314339234072,49.30610945312255,67.70017733155888
88.0,59.47217796057735,49.76929581005639,69.1750601110983
89.0,60.55754607150204,50.31093617533982,70.80415596766426
90.0,61.38067063000125,50.78010882367497,71.98123243632752
91.0,62.06912181651283,51.12690262880748,73.0113410042182
92.0,62.76955197342357,51.3544333894863,74.18467055736083
93.0,63.602777249408845,51.718090163452715,75.48746433536498
94.0,64.4513938726125,52.14632921229299,76.756458532932
95.0,65.11742716143767,52.48539769182053,77.74945663105481
96.0,65.50248238840913,52.685548718536914,78.31941605828136
97.0,65.82600238382116,53.06778959253283,78.58421517510948
98.0,66.55244431310261,53.416173063089126,79.6887155631161
99.0,67.34381014180212,53.800308015080994,80.88731226852325
100.0,67.91176009838607,54.12364444684926,81.69987574992288
101.0,68.68015382884288,54.440282764005154,82.92002489368059
102.0,69.45029342947909,54.729227967829246,84.17135889112893
103.0,69.41505336265422,53.63482689956194,85.19527982574651
104.0,70.02168721706263,53.955273652965126,86.08810078116015
105.0,70.82128756121331,54.1599328263649,87.48264229606173
106.0,70.76344488449872,54.37700724697548,87.14988252202197
107.0,71.55597399224025,54.57165973272715,88.54028825175337
108.0,70.43487766876086,53.20200863677377,87.66774670074795
109.0,71.31560617233154,53.494899432642285,89.13631291202081
110.0,72.15021777342115,53.85630083154115,90.44413471530115
111.0,72.92608153990227,54.08362774911946,91.7685353306851
112.0,72.05496958647358,54.280134053797354,89.8298051191498
113.0,72.37893429774809,54.69159132102504,90.06627727447115
114.0,72.94386946599575,54.770639281207686,91.1170996507838
115.0,73.93562696672282,55.28208510345313,92.58916882999253
116.0,74.77981890109302,56.102507498259186,93.45713030392687
117.0,75.4454946953099,56.762418949361006,94.1285704412588
118.0,75.58718237024914,57.38517111875596,93.7891936217423
119.0,76.57632752128575,58.102099868696776,95.05055517387471
120.0,77.25790680528998,58.612455677725535,95.90335793285442
121.0,77.64060821307885,59.100510113004745,96.18070631315297
122.0,77.8358890131699,59.184861033466966,96.48691699287284
123.0,78.80425934036853,59.92331844208316,97.6852002386539
124.0,79.67942231929555,60.421829035618984,98.93701560297211
125.0,80.73669142159451,61.16079160935201,100.31259123383701
126.0,81.65969357460106,61.88499183684454,101.4343953123576
127.0,82.46652046653061,62.23361728694915,102.69942364611207
128.0,83.64667086433555,62.952492649318685,104.34084907935241
129.0,84.27204398481118,63.60743640806846,104.93665156155389
130.0,84.68327113540232,63.67440730583583,105.69213496496882
131.0,85.4884391237908,63.74714601861162,107.22973222896998
132.0,86.52204188194395,64.36144814038327,108.68263562350462
133.0,87.42659581142533,64.8707386595969,109.98245296325376
134.0,87.9756743589449,65.40316705193798,110.54818166595182
135.0,88.79331039900256,65.81272675055278,111.77389404745233
136.0,89.40899774594313,66.44491919390572,112.37307629798053
137.0,89.39954461899285,65.30355723362159,113.49553200436412
138.0,90.29479676109747,66.08553137476139,114.50406214743357
139.0,90.4009784009057,66.22286599363291,114.57909080817849
140.0,90.72904233449677,66.66503557102743,114.79304909796612
141.0,91.651696267551,67.53298864844618,115.77040388665583
142.0,92.05505767717285,68.37697448208789,115.73314087225782
143.0,92.25140203762939,68.46363921649629,116.0391648587625
144.0,92.75105164404712,69.1875122638408,116.31459102425343
145.0,93.19325070937873,69.61531331406805,116.77118810468941
146.0,93.25594201112153,69.61514215111828,116.89674187112477
147.0,90.90364264033164,69.98810059225644,111.81918468840684
148.0,91.69729136152797,70.6205405330308,112.77404219002514
149.0,92.13083370975018,70.74632141014764,113.51534600935271
150.0,92.5943952362361,70.83630032259968,114.35249014987252
151.0,93.26577236300312,71.2948547385819,115.23668998742433
152.0,93.86936480443718,71.69568313801474,116.04304647085962
153.0,94.11253505922295,71.79053590575623,116.43453421268968
154.0,94.36222706416491,71.98443840038568,116.74001572794414
155.0,94.59209894698182,72.16608794413618,117.01810994982746
156.0,94.6638109883188,72.25882897272061,117.06879300391698
157.0,94.84689697627891,72.46927572632745,117.22451822623036
158.0,95.10596872274282,72.76561521302088,117.44632223246475
159.0,95.3386030516404,72.873661388252,117.80354471502882
160.0,95.78821747792168,73.4011245035772,118.17531045226617
161.0,95.87170537673595,73.60275475951829,118.14065599395362
162.0,96.12288666096177,73.8320979664278,118.41367535549576
163.0,96.40442581468982,74.29163795616198,118.51721367321765
164.0,96.70610588336731,74.49584360634657,118.91636816038807
165.0,96.85665770958136,74.52588952525292,119.1874258939098
166.0,97.11055797866229,75.13280222067685,119.08831373664773
167.0,97.37000160096208,75.40404882356034,119.33595437836382
168.0,97.52652980695476,75.65417052201487,119.39888909189463
