training_mode,table_metric_mode,max_q_convergence_value,max_q_peak_gap_to_convergence,episodes_to_90_convergence_stable,group_curve_convergence_value,group_curve_peak_gap,group_curve_stable_episode,seedwise_mean_convergence_value,seedwise_mean_peak_gap,seedwise_mean_stable_episode,convergence_value_across_runs_variance,convergence_value_across_runs_std,peak_gap_across_runs_variance,peak_gap_across_runs_std,stable_episode_across_runs_variance,stable_episode_across_runs_std,raw_full_variance_mean,raw_full_variance_across_runs_variance,smoothed_full_variance_mean,smoothed_full_variance_across_runs_variance,tail_variance_mean,tail_variance_across_runs_variance,tail_window_points,smooth_weight,max_round_used,source_metric,stable_hold_rounds
无课程学习训练,seedwise_average,103.22,61.41,691.0,96.4,66.96,656.0,103.22,61.41,691.0,72.5,8.51,129.13,11.36,1369.0,37.0,1405.87,6064.45,1493.44,4912.58,2.96,0.55,50,0.9,1000,Max._Q.csv,100
课程学习训练,seedwise_average,110.36,16.64,483.5,114.4,12.21,517.0,110.36,16.64,483.5,16.3,4.04,49.78,7.06,930.25,30.5,488.15,7023.53,510.97,7939.85,3.51,10.6,50,0.9,full,Max._Q.csv,100
