training_mode,run,num_points_used,max_round_used,raw_full_variance,smoothed_full_variance,tail_variance,max_q_convergence_value,max_q_peak,max_q_peak_step,max_q_peak_gap_to_convergence,episodes_to_90_convergence_stable,stable_band_lower,stable_band_upper,source_csv
无课程学习训练,run_noadv_nocurr_seed1,961,1000,1327.9981331772904,1423.3548132548399,3.699310580096126,111.72995917450568,161.7781992925481,460.0,50.048240118042415,728.0,100.55696325705512,122.90295509195626,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260325/table_4_4_curriculum_q_metrics/source_csv/run_noadv_nocurr_seed1__Max._Q.csv
无课程学习训练,run_noadv_nocurr_seed2,1000,1000,1483.7472719006478,1563.5344102675042,2.222425843828002,94.70007081028993,167.4754226341089,503.0,72.77535182381897,654.0,85.23006372926093,104.17007789131893,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260325/table_4_4_curriculum_q_metrics/source_csv/run_noadv_nocurr_seed2__Max._Q.csv
课程学习训练,run_1,1810,full,571.9605681268906,600.0752084380995,6.766748728740993,106.32602293264758,130.01776283582637,794.0,23.6917399031788,514.0,95.69342063938282,116.95862522591234,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260325/table_4_4_curriculum_q_metrics/source_csv/run_1__Max._Q.csv
课程学习训练,run_13,3628,full,404.3475054832815,421.86349320102914,0.25615064154368783,114.40163435015718,123.98194519767597,880.0,9.580310847518788,453.0,102.96147091514146,125.84179778517291,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260325/table_4_4_curriculum_q_metrics/source_csv/run_13__Max._Q.csv
