step,mean_q,min_q,max_q
1.0,0.07172230817377567,0.060035739094018936,0.08340887725353241
2.0,0.06200892352499068,0.05466605918481946,0.0693517878651619
3.0,0.045301744700409485,0.04516389396972955,0.04543959543108941
4.0,0.027094225014094274,0.02449371318519117,0.02969473684299738
5.0,0.01741463050977328,0.013682078580278912,0.02114718243926765
6.0,0.08515037094714585,-0.010803427165551098,0.1811041690598428
7.0,0.14663635338988013,-0.04956236112040559,0.3428350679001658
8.0,0.2918946685252735,-0.05666549096634041,0.6404548280168875
9.0,0.5092339227147235,-0.05043360336241171,1.0689014487918587
10.0,0.836166225482285,-0.03420070925608616,1.7065331602206562
11.0,1.1635232024871647,-0.004516107910174209,2.3315625128845037
12.0,1.5891471165552742,0.02914029085043244,3.149153942260116
13.0,2.0283273704172675,0.06827066591444467,3.9883840749200905
14.0,2.541780088602439,0.09838987217303682,4.985170305031841
15.0,2.9787956484487075,0.1384879186089924,5.819103378288423
16.0,3.41542489901159,0.14653313466931203,6.684316663353868
17.0,3.8106761953977384,0.14764116086684007,7.473711229928637
18.0,4.188165137775031,0.14980877975930873,8.226521495790754
19.0,4.525801115876991,0.20507636851349564,8.846525863240487
20.0,4.892555016559266,0.28529844748627325,9.499811585632258
21.0,5.132247798098835,0.37065548361227973,9.893840112585389
22.0,5.478328823256831,0.450099074788863,10.5065585717248
23.0,5.789472913034267,0.6018451249134313,10.977100701155102
24.0,6.094538565237081,0.7295446689902338,11.459532461483928
25.0,6.422697099231561,0.9120426442603998,11.933351554202723
26.0,6.721830039187861,1.0972407102329194,12.346419368142802
27.0,7.043857004312807,1.2306477284201376,12.857066280205476
28.0,7.428933214606166,1.4258078863413683,13.432058542870964
29.0,8.321176414008129,1.6535857793860034,14.988767048630255
30.0,8.78125272182988,1.80787758921138,15.75462785444838
31.0,9.394107431069315,1.994141956221028,16.794072905917602
32.0,10.100354978348584,2.1339029610612665,18.0668069956359
33.0,10.778271736716423,2.303170908134461,19.253372565298385
34.0,11.445600207461592,2.5901313918602,20.301069023062983
35.0,11.88320082647831,2.8793628720436866,20.887038780912935
36.0,12.341397662966525,3.1151071287388543,21.567688197194197
37.0,12.678511983164318,3.39576393638804,21.961260029940597
38.0,12.932342761166247,3.687289723230193,22.1773957991023
39.0,13.183428067035095,3.9858137683327106,22.38104236573748
40.0,13.466290609300092,4.361029617451588,22.571551601148595
41.0,13.76252777838107,4.790752690252328,22.73430286650981
42.0,14.10056991097387,5.20319963802397,22.99794018392377
43.0,14.486745143387227,5.663041341091691,23.31044894568276
44.0,14.795867441106,6.114019788311867,23.47771509390013
45.0,15.227829549915931,6.66398780078317,23.791671299048694
46.0,15.655918110198389,7.240189747786152,24.071646472610624
47.0,16.203590478408284,7.9821780056735525,24.425002951143018
48.0,16.777077513254834,8.770083194760739,24.784071831748932
49.0,17.20286268948062,9.225038605143062,25.18068677381818
50.0,17.57813306115756,9.812127182372897,25.344138939942223
51.0,18.00284367319366,10.500961651940784,25.504725694446535
52.0,18.518523337093775,11.159643105154908,25.87740356903264
53.0,19.464132989926142,11.61001771523268,27.31824826461961
54.0,19.99779371513397,12.071526281539002,27.92406114872894
55.0,20.92922467076901,12.55954996869272,29.2988993728453
56.0,21.86876728013864,13.10083294026827,30.636701620009013
57.0,22.570565955719747,13.695980931336658,31.445150980102838
58.0,23.1522210987342,14.196176920844593,32.108265276623804
59.0,23.852397681945494,14.736714525085816,32.96808083880517
60.0,24.18407862336093,14.527202942724939,33.84095430399692
61.0,24.701892360603694,15.05535098799102,34.34843373321637
62.0,25.339134727021353,15.56055998404055,35.117709470002154
63.0,25.968565065354372,16.106429263346456,35.83070086736229
64.0,26.407299493572353,16.72932134067392,36.085277646470786
65.0,26.928445078272738,17.349472778994222,36.50741737755125
66.0,27.740185550456445,17.895091716609937,37.58527938430296
67.0,28.404275153522374,18.535503695156464,38.27304661188828
68.0,29.225815487901585,19.077184191119336,39.37444678468383
69.0,30.115785342157082,19.53887361655086,40.692697067763305
70.0,30.908667714923794,20.06988920899734,41.74744622085025
71.0,31.545306531962908,20.355604488842232,42.73500857508358
72.0,32.293658931592546,20.866643428080568,43.72067443510452
73.0,32.72660373408148,21.315402936285693,44.13780453187727
74.0,33.44733964286938,21.799896387469136,45.09478289826962
75.0,34.180028488183275,22.288460864017633,46.071596112348914
76.0,34.83723687822603,22.68222353463491,46.992250221817145
77.0,35.53085102762266,23.04168138747025,48.02002066777508
78.0,35.7755141090645,23.468459598820882,48.08256861930812
79.0,36.43251927774789,23.848583930076487,49.0164546254193
80.0,37.06408109737911,24.285259312398427,49.842902882359795
81.0,36.68229046887289,24.713928472406142,48.65065246533964
82.0,37.2215206810188,25.069927821820798,49.373113540216806
83.0,37.805591623933765,25.226488468288622,50.384694779578915
84.0,38.30033458556383,25.409605917846477,51.19106325328118
