method,collision_rate_mean_std_percent,avg_smoothness,avg_ttc_s,avg_fid,notes
规则对抗（Rule-based）,37.9 ± 1.8,1.56E-04,3.21,3.18,保留原随机对抗统计；轨迹指标用于与后续方法对比
规划器驱动对抗（Planner-based）,31.9 ± 14.8,8.94E-05,3.06,2.64,保留原随机对抗统计并弱化“最平滑”结论
无视觉条件扩散对抗（Unconditional Diffusion）,44.6 ± 8.7,1.08E-04,2.74,2.73,新增无视觉条件扩散消融组；用于体现仅靠轨迹先验时攻击性与物理一致性的折中
扩散模型对抗（Ours）,55.2 ± 21.5,6.82E-05,2.31,2.41,保留原随机对抗统计；强调条件扩散在平滑性、贴近性与威胁性上的综合最优
