训练方式,验证场景,成功率（%）,碰撞率（%）,平均奖励,结果来源类型,源文件,训练日志目录,模型路径,备注
历史参考对照 TD3,无对抗验证,72.8,22.8,13.9,历史 eval_csv 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/baseline_noadv_historical.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_19,logs/forklift_movebase/run_19/td3_model,仅作历史参考对照，不再严格表述为纯无对抗训练基线
历史参考对照 TD3,有对抗验证,50.0,47.1,-37.8,历史 eval_csv 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/baseline_adv_historical.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_19,logs/forklift_movebase/run_19/td3_model,仅作历史参考对照，不再严格表述为纯无对抗训练基线
规则对抗训练 TD3,无对抗验证,84.2,10.5,39.4,独立验证单次 CSV 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/rule_run10_noadv_independent.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,论文表4-3当前采用的代表结果
规则对抗训练 TD3,有对抗验证,78.9,15.8,27.6,独立验证单次 CSV 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/rule_run10_adv_independent.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_10/td3_model,论文表4-3当前采用的代表结果
规划器驱动对抗训练 TD3,无对抗验证,89.5,10.5,51.1,独立验证单次 CSV 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/planner_run18_noadv_independent.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,论文表4-3当前采用的代表结果
规划器驱动对抗训练 TD3,有对抗验证,83.3,11.1,43.8,独立验证单次 CSV 汇总行,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/planner_run18_adv_independent.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase/run_18/td3_model,论文表4-3当前采用的代表结果
扩散模型对抗训练 TD3（本文，run_1）,无对抗验证,90.8,9.2,56.3,3次独立验证平均（repeat_eval_aggregate）,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/ours_run1_noadv_repeat_aggregate.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,对应原始重复验证 CSV: ours_run1_noadv_repeat1~3.csv
扩散模型对抗训练 TD3（本文，run_1）,有对抗验证,80.5,19.5,37.1,3次独立验证平均（native-config repeat_eval_aggregate）,/data/lzq/ros_motion_planning/src/rl_training/model_screening/paper_results_20260320/raw_csv/ours_run1_adv_native_repeat_aggregate.csv,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1,/data/lzq/ros_motion_planning/src/rl_training/logs/forklift_movebase_with_goal/run_1/td3_model,对应原始重复验证 CSV: ours_run1_adv_repeat1~3.csv；采用模型自身训练环境参数重测
