method,agent,source_type,point_idx,x,y
rule_based,robot2,odom,95,-2.3775566800298815,-3.9333839551788867
rule_based,robot2,odom,96,-2.3775493621689594,-3.933412651767701
rule_based,robot2,odom,97,-2.3775568913528264,-3.933441192023118
rule_based,robot2,odom,98,-2.377549504361919,-3.933469724367292
rule_based,robot2,odom,99,-2.377557118029733,-3.933498323216243
rule_based,robot2,odom,100,-2.377549646022048,-3.933526766893779
rule_based,robot2,odom,101,-2.377557345119791,-3.9335553354824393
rule_based,robot2,odom,102,-2.3775498113521096,-3.9335837729064007
rule_based,robot2,odom,103,-2.3775575567524867,-3.9336122184195452
rule_based,robot2,odom,104,-2.3775499974029723,-3.9336406808351065
rule_based,robot2,odom,105,-2.3775501630048796,-3.9336974370702964
rule_based,robot2,odom,106,-2.377557880924295,-3.9337255532250923
rule_based,robot2,odom,107,-2.3775503069722226,-3.9337540180837447
rule_based,robot2,odom,108,-2.3775579857389144,-3.9337820314767975
rule_based,robot2,odom,109,-2.377550426896532,-3.933810410333258
rule_based,robot2,odom,110,-2.3775580714584805,-3.9338383934111594
rule_based,robot2,odom,111,-2.3775505197384628,-3.9338666170317205
rule_based,robot2,odom,112,-2.3775581509798323,-3.933894623320025
rule_based,robot2,odom,113,-2.377550580515025,-3.9339226533937706
