row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,0,0,400,-100.98210698366165,-2.2,-1.6,-0.19766484513712884,,,,,,5.430071312660129,2.522680783742378,1.6276104145531088e-05
summary,all,movebase,movebase,True,,,,,,,,,,-100.98210698366165,0.0,0.0,0.0,5.430071312660129,2.522680783742378,1.6276104145531088e-05
