wall_time,step,value
1772509554.2677267,1,-0.16978804767131805
1772509554.6328988,2,-0.35356590151786804
1772509556.497697,3,-0.4758298099040985
1772509558.127409,4,-0.6519338488578796
1772509568.5496478,5,-1.4084649085998535
1772509575.9258265,6,-1.7366583347320557
1772509580.785356,7,-2.0375049114227295
1772509588.148015,8,-2.351850748062134
1772509588.267083,9,-2.6167521476745605
1772509592.6204734,10,-2.549006462097168
1772509601.1582215,11,-2.8380792140960693
1772509629.401679,12,-2.9550044536590576
1772509637.4830077,13,-2.98718523979187
1772509645.4852998,14,-3.079456329345703
1772509656.0134478,15,-3.2266855239868164
1772509659.6322238,16,-3.301537036895752
1772509663.2717137,17,-3.3027188777923584
1772509676.154498,18,-3.407942533493042
1772509685.654814,19,-3.3596091270446777
1772509695.383459,20,-3.430790901184082
1772509701.708263,21,-3.424830675125122
1772509705.7430634,22,-3.257581949234009
1772509711.3013136,23,-3.1083486080169678
1772509716.1720178,24,-3.0647830963134766
1772509716.466424,25,-2.9148197174072266
1772509736.451297,26,-2.6920132637023926
1772509743.1943316,27,-2.716885566711426
1772509750.4692616,28,-2.861785888671875
1772509750.6034453,29,-3.9734063148498535
1772509762.1527262,30,-2.501424789428711
1772509762.9536896,31,-2.7980430126190186
1772509774.0383778,32,-2.0518558025360107
1772509780.06215,33,-2.1130082607269287
1772509786.9515607,34,-2.03127121925354
1772509796.2624545,35,-2.0160210132598877
1772509800.0212097,36,-2.095468044281006
1772509803.174943,37,-1.9960546493530273
1772509811.2809997,38,-2.1098082065582275
1772509821.8114617,39,-1.872488260269165
1772509833.1108057,40,-2.011537551879883
1772509843.188212,41,-1.8900569677352905
1772509848.7617342,42,-1.8410193920135498
1772509859.3173838,43,-1.9329931735992432
1772509888.804585,44,-0.9375390410423279
1772509893.3263202,45,-1.714388370513916
1772509902.8987188,46,-1.7833690643310547
1772509903.538379,47,-2.3851823806762695
1772509908.908413,48,-1.8679431676864624
1772509910.3990295,49,-1.9388554096221924
1772509915.0482268,50,-1.7287434339523315
1772509918.6439788,51,-1.521511435508728
1772509919.124973,52,-1.2204675674438477
1772509919.8467891,53,-1.4986555576324463
1772509923.2314446,54,-1.622750997543335
1772509925.5841088,55,-1.8039933443069458
1772509934.3243752,56,-1.7417575120925903
1772509960.02697,57,-0.7860836982727051
1772509961.9394608,58,-0.7963207960128784
1772509970.150377,59,-0.9076472520828247
1772509970.2810962,60,-1.0515300035476685
1772509974.3182123,61,-0.7828978896141052
1772509983.372328,62,-0.6314842104911804
1772509988.7102737,63,-0.6527987718582153
1772509989.38834,64,-0.982245683670044
1772509994.2279332,65,-0.5023372769355774
1772509999.788369,66,-0.44772741198539734
1772510010.026012,67,-0.6769459843635559
1772510016.8081396,68,-0.8721475601196289
1772510024.9973102,69,-0.8657191395759583
1772510027.8219252,70,-0.684330403804779
1772510033.0931504,71,-0.4293406903743744
1772510055.78494,72,-0.5164943933486938
1772510057.7467504,73,-1.2096060514450073
1772510073.8322682,74,-0.5261560082435608
1772510079.6989584,75,-0.7813401818275452
1772510080.9428024,76,-0.744229257106781
1772510082.249822,77,-0.6122860908508301
1772510082.574326,78,-1.4557350873947144
1772510094.0029454,79,-0.7723023891448975
1772510102.8419802,80,-0.9694119691848755
1772510105.9644024,81,-0.7978652119636536
1772510116.9334357,82,-0.844997763633728
1772510121.894869,83,-0.6684887409210205
1772510122.0248015,84,-3.029961109161377
1772510129.7830446,85,-0.8860136270523071
1772510131.820287,86,-0.32699131965637207
1772510139.128726,87,-0.852809488773346
1772510145.32112,88,-0.9030319452285767
1772510160.1142237,89,-1.453178882598877
1772510169.2050576,90,-1.7051042318344116
