row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate
,84,td3,movebase,False,0,1,0,55,82.35041853040457,-3.682206837071094,-3.651444676334647,-2.360389123692511,logs/forklift_movebase/run_19/td3_model,,,,
,85,td3,movebase,False,0,1,0,43,94.50087834149599,-2.272130049740904,-3.4112197786649094,-2.158389575846006,logs/forklift_movebase/run_19/td3_model,,,,
,86,td3,movebase,False,0,1,0,20,85.70152655243874,-2.971649994374784,-2.5941280720135573,-2.423919890714027,logs/forklift_movebase/run_19/td3_model,,,,
,87,td3,movebase,False,1,0,0,120,-164.80504555255175,-3.1286976996073763,-3.51212066280644,-2.2985212136010733,logs/forklift_movebase/run_19/td3_model,,,,
,88,td3,movebase,False,0,0,0,400,-123.05407392978668,-2.7038660960550454,-3.521919540941844,-2.2255453351004957,logs/forklift_movebase/run_19/td3_model,,,,
,89,td3,movebase,False,0,1,0,95,50.709011256694794,-2.933131941942475,-4.678909409235554,-2.1307490508626716,logs/forklift_movebase/run_19/td3_model,,,,
,90,td3,movebase,False,0,1,0,92,77.63477040827274,-4.267633529801559,-3.14376061857933,-2.5066891631983537,logs/forklift_movebase/run_19/td3_model,,,,
,91,td3,movebase,False,1,0,0,47,-132.0781883597374,-4.7184241379548,-2.8669148324934404,-2.5956035995196274,logs/forklift_movebase/run_19/td3_model,,,,
,92,td3,movebase,False,0,1,0,84,72.00777626782656,-2.8867848745518514,-3.5971430925294863,-2.2470729135422065,logs/forklift_movebase/run_19/td3_model,,,,
,93,td3,movebase,False,0,1,0,66,68.85532922297716,-3.3769733486625566,-2.8807486858989,-2.43532687287297,logs/forklift_movebase/run_19/td3_model,,,,
,94,td3,movebase,False,0,0,0,400,-63.518155455589294,-2.5164478777736705,-3.216641438259761,-2.2346643800412838,logs/forklift_movebase/run_19/td3_model,,,,
,95,td3,movebase,False,1,0,0,39,-111.56047792732716,-2.1557528377634454,-2.7229264741200647,-2.2404584604004567,logs/forklift_movebase/run_19/td3_model,,,,
,96,td3,movebase,False,0,1,0,36,78.22087811678648,-3.4940413762527607,-4.873900269531665,-2.192766930942957,logs/forklift_movebase/run_19/td3_model,,,,
,98,td3,movebase,False,0,1,0,70,63.98131728172302,-3.783360849184292,-4.4554809602547705,-2.2747953057104917,logs/forklift_movebase/run_19/td3_model,,,,
,99,td3,movebase,False,0,1,0,27,95.03231430798769,-3.5256422512962544,-3.3162044451031534,-2.386796231832049,logs/forklift_movebase/run_19/td3_model,,,,
,100,td3,movebase,False,1,0,0,22,-107.45238906890154,-3.7500203444587017,-2.465035468924506,-2.5600753377508942,logs/forklift_movebase/run_19/td3_model,,,,
summary,all,td3,movebase,False,,,,,,,,,logs/forklift_movebase/run_19/td3_model,13.86566983645215,0.7282608695652174,0.22826086956521738,0.0
