method,agent,source_type,point_idx,x,y
rule_based,robot2,odom,8,-2.922006336633958,-1.8793256159729046
rule_based,robot2,odom,9,-2.9552533769286393,-1.9158254088051512
rule_based,robot2,odom,10,-2.9921806273604696,-1.9491723577319142
rule_based,robot2,odom,11,-3.0290916995790056,-1.9828316599123275
rule_based,robot2,odom,12,-3.0691990136708083,-2.0118050048944767
rule_based,robot2,odom,13,-3.106902351430989,-2.044448799237703
rule_based,robot2,odom,14,-3.1460006068007234,-2.074717599589091
rule_based,robot2,odom,15,-3.184654354010437,-2.107153287845064
rule_based,robot2,odom,16,-3.2216279498712597,-2.13896696731209
rule_based,robot2,odom,17,-3.2602683727178308,-2.1714364628062794
rule_based,robot2,odom,18,-3.2975326822208704,-2.2031921179790777
rule_based,robot2,odom,19,-3.3368736479406853,-2.2346076016818115
rule_based,robot2,odom,20,-3.374875041163749,-2.265876527565317
rule_based,robot2,odom,21,-3.4135369949779215,-2.297762607993315
rule_based,robot2,odom,22,-3.451884043607352,-2.329262896657838
rule_based,robot2,odom,23,-3.4903735686825037,-2.3610988379457605
rule_based,robot2,odom,24,-3.5290644777429114,-2.392642161073815
rule_based,robot2,odom,25,-3.606533136257639,-2.455847043845832
rule_based,robot2,odom,26,-3.6447641574244742,-2.4871337261733126
rule_based,robot2,odom,27,-3.684162712989533,-2.518607250468125
rule_based,robot2,odom,28,-3.7226997437065945,-2.5496966908819076
rule_based,robot2,odom,29,-3.762136348190993,-2.5814428188274783
rule_based,robot2,odom,30,-3.800879814278486,-2.6125311546507595
rule_based,robot2,odom,31,-3.840378849085493,-2.6443685386941875
rule_based,robot2,odom,32,-3.878750892777673,-2.675451821352208
rule_based,robot2,odom,33,-3.917987604358331,-2.7072038745216913
rule_based,robot2,odom,34,-3.9560056241740598,-2.7388612648001556
rule_based,robot2,odom,35,-3.994676769098471,-2.771443003364491
rule_based,robot2,odom,36,-4.030799591189768,-2.8046695170207863
rule_based,robot2,odom,37,-4.068043177293684,-2.839000977211871
rule_based,robot2,odom,38,-4.100279114711046,-2.8762419785306323
rule_based,robot2,odom,39,-4.13424606980912,-2.9138031171315197
rule_based,robot2,odom,40,-4.156605006044968,-2.958893109510012
rule_based,robot2,odom,41,-4.176614468139416,-3.004678411503148
rule_based,robot2,odom,42,-4.193001710356384,-3.0505148257108003
rule_based,robot2,odom,43,-4.218797416844976,-3.096516468305658
rule_based,robot2,odom,44,-4.243255069332569,-3.138317929319241
rule_based,robot2,odom,45,-4.271148692729875,-3.1806820068927877
rule_based,robot2,odom,46,-4.292717086952851,-3.220611010410055
rule_based,robot2,odom,47,-4.325742571248242,-3.316031340018556
rule_based,robot2,odom,48,-4.3442819233471,-3.3572093766677646
rule_based,robot2,odom,49,-4.372892767953923,-3.4027754431432182
rule_based,robot2,odom,50,-4.402675755491605,-3.4344892227018957
rule_based,robot2,odom,51,-4.425301263062115,-3.4794228919990178
rule_based,robot2,odom,52,-4.436895503528481,-3.5133247205945763
rule_based,robot2,odom,53,-4.461700398187136,-3.558632460616248
rule_based,robot2,odom,54,-4.469306644381461,-3.6044421177271087
rule_based,robot2,odom,55,-4.47568788742918,-3.6458168913047477
rule_based,robot2,odom,56,-4.475927278069482,-3.694203461546775
rule_based,robot2,odom,57,-4.478931890371309,-3.7402731749009304
rule_based,robot2,odom,58,-4.4764900635647304,-3.7904421400471096
rule_based,robot2,odom,59,-4.470889189843443,-3.839165070548168
rule_based,robot2,odom,60,-4.467108283573425,-3.8833181326856847
rule_based,robot2,odom,61,-4.458522311478604,-3.9231566649204845
rule_based,robot2,odom,62,-4.437762710896467,-3.974539961986532
rule_based,robot2,odom,63,-4.417550046520327,-4.02346761011532
rule_based,robot2,odom,64,-4.403512989392611,-4.072165839319606
rule_based,robot2,odom,65,-4.393067914540697,-4.116516133048693
rule_based,robot2,odom,66,-4.374948045830033,-4.164066964289831
rule_based,robot2,odom,67,-4.353399409142879,-4.207347947025365
rule_based,robot2,odom,68,-4.330662227096989,-4.252924471900813
rule_based,robot2,odom,69,-4.274387707225067,-4.335831490739871
rule_based,robot2,odom,70,-4.240729163450055,-4.3729265479514545
rule_based,robot2,odom,71,-4.208979325046092,-4.411163640543554
rule_based,robot2,odom,72,-4.1776823321534655,-4.446624053514598
rule_based,robot2,odom,73,-4.144784159789734,-4.482753135954959
rule_based,robot2,odom,74,-4.113228644185128,-4.516308902570657
rule_based,robot2,odom,75,-4.077387340409997,-4.550531178942267
