step,ego_x,ego_y,adv_x,adv_y
0,-2.604991891217132,-2.9656643516053443,-3.9576681470432065,-5.387120820979267
1,-2.605734103155728,-2.9832609059537654,-3.971275760066853,-5.375018754486696
2,-2.6022862143130183,-2.997562607614615,-3.9823388198788767,-5.354766713089799
3,-2.6079230040348453,-3.0129694127563207,-3.994500547105222,-5.3456299632847015
4,-2.606756109022201,-3.026588981092879,-4.004886283574175,-5.3385672511482625
5,-2.606732369963761,-3.046354741496049,-4.008625137241329,-5.329159311026701
6,-2.607714125951447,-3.071375365396227,-4.013699161628528,-5.304524750501581
7,-2.607800006604971,-3.072475768851005,-4.019319636865794,-5.27980672792524
8,-2.6077719229354344,-3.072564466826436,-4.021819376960375,-5.274066375121113
9,-2.6077562891217037,-3.072679605865547,-4.020825436218171,-5.270093127973926
10,-2.607756417081455,-3.072679077195011,-4.017224921613087,-5.265497212653501
11,-2.607756253998986,-3.0726797827384638,-4.0113270880542995,-5.259717667172177
12,-2.6077560950557968,-3.0726805940541655,-4.004225020610604,-5.252733846210045
13,-2.6077559472755305,-3.0726815544208375,-3.9984650890488953,-5.247275124494778
14,-2.607755813104109,-3.0726825938730746,-3.990345625556244,-5.238973153712239
15,-2.607739309899656,-3.0726625066710875,-3.981783923314664,-5.2287693850865296
16,-2.6077416485309723,-3.072733567411464,-3.966006009957151,-5.206572146579376
17,-2.605867954908665,-3.0947327862398804,-3.9607250995055057,-5.197675537595831
18,-2.61193795219882,-3.1205931937632374,-3.9571228549457604,-5.188119134200116
19,-2.61422755544035,-3.14598053950823,-3.9596615340321173,-5.1712512218740105
20,-2.6163212090563492,-3.1699430144424703,-3.957198558787332,-5.171136442417182
21,-2.6208022373645665,-3.197134837325054,-3.955117109194699,-5.172828481775775
22,-2.6232246330756124,-3.2224454129766533,-3.9546245669410283,-5.176162097307959
23,-2.6247668500896406,-3.245327728079083,-3.9553904099770505,-5.182048438755045
24,-2.6293147658255456,-3.271160854136389,-3.946065762661393,-5.200734976631965
25,-2.6343379795832167,-3.298698113245485,-3.933052254666624,-5.22742595940092
26,-2.6383669252628303,-3.32356758096172,-3.925205072612262,-5.2394105248958205
27,-2.644966603188463,-3.3503029469607593,-3.9222959872719705,-5.238321066400649
28,-2.652189729562065,-3.3773628589226963,-3.923378681155039,-5.2363179677485014
29,-2.6593573404070234,-3.40239888835577,-3.923811455449424,-5.23282644354113
30,-2.6593363932092604,-3.402391056862201,-3.922948364499585,-5.2283014300889805
31,-2.6593362361083117,-3.4023913393502214,-3.92062466157648,-5.222538731849882
32,-2.659336247356564,-3.4023915913343816,-3.917214467967147,-5.215258141525898
33,-2.6593362702863304,-3.402391844028842,-3.9134367889225503,-5.206690482895945
34,-2.6593363815917477,-3.402392060805448,-3.9101637641906084,-5.198661730293406
35,-2.6593364771111077,-3.402392302882297,-3.9068018227588275,-5.192712352503826
36,-2.6593365796861628,-3.4023927227351174,-3.9027977699839607,-5.1822227764061255
37,-2.6593367555725353,-3.4023935313341847,-3.896865060933524,-5.159463597169812
38,-2.669002963771215,-3.426839479485717,-3.894896487819566,-5.157081590732748
39,-2.679444747613141,-3.4541247364988497,-3.8925359210283865,-5.157333349168672
40,-2.6881285635153263,-3.4812414160866796,-3.8884674957890675,-5.158611784187413
41,-2.699027410615908,-3.5071291203790356,-3.8841463427130933,-5.160596696937433
42,-2.7091640578069147,-3.5341227310030665,-3.880957423345825,-5.164442921983983
43,-2.719285742742684,-3.5605414248888714,-3.879609992347993,-5.168269693992829
44,-2.7299998122610507,-3.587664690847111,-3.8782099632813187,-5.167182840148936
45,-2.7402200899605935,-3.6148358983227764,-3.88122178872599,-5.1635475160911
46,-2.750666854434497,-3.6413318879177976,-3.8881509597168544,-5.157476327780412
47,-2.761796590110506,-3.6680516018921883,-3.8990586194614205,-5.147514296992872
48,-2.772836395626082,-3.6944811454790565,-3.897915747393329,-5.148901505495926
49,-2.782879431790769,-3.71997360605963,-3.896848965972391,-5.150805863194745
50,-2.794496980019561,-3.7460197041640826,-3.8950384755362393,-5.154747994000658
51,-2.806966905182255,-3.7719409195912315,-3.89434726341598,-5.158646907903733
