wall_time,step,value
1772766936.7990692,1,1.2000000476837158
1772767310.8762448,2,1.440000057220459
1772767781.5949278,3,1.628000020980835
1772768156.6561713,4,1.8200000524520874
1772768658.3925066,5,1.996000051498413
1772769125.6595268,6,2.196000099182129
1772769575.8226311,7,2.371999979019165
1772770075.7183454,8,2.5360000133514404
1772770622.7711136,9,2.7360000610351562
1772771217.0121422,10,2.931999921798706
1772771783.034619,11,3.111999988555908
1772772251.1333694,12,3.2799999713897705
1772772688.0499306,13,3.4600000381469727
1772773332.2075672,14,3.635999917984009
1772773756.744029,15,3.803999900817871
1772774182.1293683,16,3.9679999351501465
1772774686.9232712,17,4.159999847412109
1772775173.3887358,18,4.328000068664551
1772775701.618232,19,4.5
1772776216.7530787,20,4.6479997634887695
1772776606.0834992,21,4.823999881744385
1772776953.3381124,22,5.0
1772777352.8103578,23,5.004000186920166
1772777739.4646049,24,5.004000186920166
1772778161.6884887,25,5.004000186920166
1772778553.8118682,26,5.004000186920166
1772778958.7696233,27,5.004000186920166
1772779394.300734,28,5.004000186920166
1772779753.9714048,29,5.004000186920166
1772780166.1931758,30,5.004000186920166
1772780550.8972542,31,5.004000186920166
1772780931.4164062,32,5.004000186920166
1772781392.4330044,33,5.004000186920166
1772781814.7464712,34,5.004000186920166
1772782245.91538,35,5.004000186920166
1772782708.5540085,36,5.004000186920166
1772783117.1464665,37,5.004000186920166
1772783576.4809887,38,5.004000186920166
1772783940.8098059,39,5.004000186920166
1772784295.1856756,40,5.004000186920166
1772784702.8011303,41,5.004000186920166
1772785158.6149356,42,5.004000186920166
1772785553.914716,43,5.004000186920166
1772786002.9509501,44,5.004000186920166
1772786378.356304,45,5.004000186920166
1772786715.8138428,46,5.004000186920166
1772787093.3759933,47,5.004000186920166
1772787455.0780604,48,5.004000186920166
1772787833.502069,49,5.004000186920166
1772788170.4205987,50,5.004000186920166
1772788560.968279,51,5.004000186920166
1772788975.223967,52,5.004000186920166
1772789289.0428257,53,5.004000186920166
1772789644.4300768,54,5.004000186920166
1772790045.4041574,55,5.004000186920166
1772790442.5871637,56,5.004000186920166
1772790789.171763,57,5.004000186920166
1772791173.327152,58,5.004000186920166
1772791521.469315,59,5.004000186920166
1772791899.0385911,60,5.004000186920166
