episode,ego_path,rule_path,planner_path,unconditional_path,ours_path,rule_min_d_noadv_ego,planner_min_d_noadv_ego,unconditional_min_d_noadv_ego,ours_min_d_noadv_ego,ours_margin_noadv_ego,rule_min_d_same_method,planner_min_d_same_method,unconditional_min_d_same_method,ours_min_d_same_method,ours_margin_same,rule_collided,planner_collided,unconditional_collided,ours_collided
001,3.07236577235292,4.72648208268932,3.3566989779367375,3.8345603141581894,4.2261004815908585,0.6252657089290683,1.5264280606567764,0.4300917507580796,0.3709751486121562,0.0591166021459234,0.28255936898568046,1.5747871176404997,0.3113085210102169,0.3681728896248404,-0.08561352063915995,True,False,True,True
002,2.7025417153233646,4.444616998518498,4.209155124612131,4.002681564656348,4.6257216041319245,0.05434892133636513,2.405518266236621,0.06599280958541742,0.02494892149802692,0.02939999983833821,0.33749488190401455,2.394664558498023,0.33293292689318915,0.24939779087431085,0.0835351360188783,True,True,True,True
003,3.88395892316076,0.5736545437674794,3.7052053896615806,0.5797112147119318,0.5641908572073128,3.305918049069987,1.5398306992801405,3.4998362903990934,3.457524339344899,-1.9176936400647586,3.3193395663394205,1.7082430838631284,3.5686172247262236,3.4464180626679792,-1.7381749788048508,False,False,False,False
004,3.5747205268083717,4.014262393606978,4.488022926195456,3.536448415901436,4.821736400164398,0.3760073110699286,1.5036729360916,0.6036127516965416,0.017526813315533886,0.35848049775439467,0.14250510475035555,1.5053733990777867,0.31005653319219856,0.29102747468854634,-0.1485223699381908,True,False,True,True
005,3.530053096459126,1.1957224759663645,4.364681318118624,3.0172555848844937,3.304448616807366,1.5576432485663692,1.4967151312676825,0.4996034472021541,0.3995035991414807,0.1000998480606734,1.6461973605277216,1.5076121034470962,0.3042971513236379,0.06494277058493783,0.23935438073870005,False,False,True,True
006,3.2440850604848763,5.061130494759047,3.0906971165315924,3.6625164295623955,3.9491165349852597,2.401898889463462,0.89039539050129,0.5044144996904653,0.5803950521824328,-0.07598055249196756,2.3820629450459023,0.8690127148719626,0.2880120067328241,0.1505048742751126,0.1375071324577115,False,False,True,True
007,0.7619237512972292,1.2409253895686276,3.9789813737231436,4.261717468461234,3.311214937773094,2.493120958006903,1.0647495247102765,0.6145243689418052,0.3957442575802125,0.2187801113615927,2.4825368674819175,1.0651968159994114,1.0995669262158934,0.9907026260725955,0.07449418992681589,True,False,True,True
008,3.3005903385234343,3.673453318713925,4.203235061485073,4.16378362422379,4.762700004838552,4.881403514327684,1.576589080386195,0.48858192323297606,0.2885113175199056,0.20007060571307045,4.8617210603552605,1.622756796350842,0.4731545941019503,0.7255746561528792,-0.2524200620509289,False,False,False,True
009,2.3368620416303267,0.5786062569345506,3.7247177941902425,1.8606519671718833,1.8284878810477088,1.960612561580128,1.561313799955877,0.7296801921784828,0.8166908980327026,-0.08701070585421977,1.9698761335866704,1.3286468779767961,0.7298226656819315,0.23000211866494683,0.49982054701698475,True,True,True,True
010,3.3432002973130945,7.404859931513098,4.598411663687907,3.6534951949631465,4.793164538815963,1.0771471118693632,0.7277997971402587,1.436077662967592,0.6230945275645724,0.10470526957568627,1.0696460485671284,2.2626380877440804,2.9744661702250315,0.24655369461193155,0.8230923539551969,False,True,False,True
011,3.5843157789905638,9.88355970568139,3.188529105629953,3.7113936936076346,3.6863514760024967,6.157399742170403,2.71015072000373,1.018127673061838,1.0203418864788674,-0.0022142134170293204,6.138469536479635,3.555600451383885,3.5385475116458784,1.462949308790209,2.0755982028556694,False,False,False,True
012,3.0602294379667576,6.563743080486736,0.0017023479355662175,2.196778147043149,4.94753421274119,5.767506825241817,5.390570819204024,4.8448837962199525,4.37667366916396,0.4682101270559924,5.707569073617679,5.659091323907297,4.616064080845784,4.878753865904496,-0.2626897850587122,True,False,False,True
